team,group,position,confederation,matches,start_elo,end_elo,change,trend_weight,forecast_adjustment,forecast_elo,min_elo,max_elo,last_match_date
Spain,H,H1,UEFA,10,2155.0,2154.0,-1.0,0.0,-0.0,2154.0,2153.0,2187.0,2026-06-08
Argentina,J,J1,CONMEBOL,9,2114.0,2084.0,-30.0,0.0,-0.0,2084.0,2078.0,2114.0,2026-06-06
France,I,I1,UEFA,10,2062.0,2059.0,-3.0,0.0,-0.0,2059.0,2050.0,2076.0,2026-06-08
England,L,L1,UEFA,10,2021.0,2001.0,-20.0,0.0,-0.0,2001.0,1997.0,2021.0,2026-06-06
Colombia,K,K4,CONMEBOL,11,1977.0,1996.0,19.0,0.0,0.0,1996.0,1977.0,2015.0,2026-06-07
Brazil,C,C1,CONMEBOL,11,1991.0,1986.0,-5.0,0.0,-0.0,1986.0,1963.0,2000.0,2026-06-06
Ecuador,E,E4,CONMEBOL,11,1935.0,1948.0,13.0,0.0,0.0,1948.0,1920.0,1948.0,2026-06-07
Portugal,K,K1,UEFA,9,1986.0,1944.0,-42.0,0.0,-0.0,1944.0,1926.0,1999.0,2026-06-06
Germany,E,E1,UEFA,10,1932.0,1933.0,1.0,0.0,0.0,1933.0,1880.0,1933.0,2026-06-06
Belgium,G,G1,UEFA,11,1893.0,1932.0,39.0,0.0,0.0,1932.0,1889.0,1932.0,2026-06-06
Japan,F,F2,AFC,10,1906.0,1931.0,25.0,0.0,0.0,1931.0,1884.0,1931.0,2026-05-31
Turkey,D,D4,UEFA,11,1911.0,1931.0,20.0,0.0,0.0,1931.0,1881.0,1931.0,2026-06-06
Netherlands,F,F1,UEFA,11,1944.0,1928.0,-16.0,0.0,-0.0,1928.0,1923.0,1948.0,2026-06-08
Norway,I,I4,UEFA,11,1917.0,1927.0,10.0,0.0,0.0,1927.0,1917.0,1936.0,2026-06-07
Croatia,L,L2,UEFA,11,1908.0,1914.0,6.0,0.0,0.0,1914.0,1908.0,1947.0,2026-06-07
Switzerland,B,B4,UEFA,11,1891.0,1905.0,14.0,0.0,0.0,1905.0,1891.0,1933.0,2026-06-06
Morocco,C,C2,CAF,25,1824.0,1903.0,79.0,0.0,0.0,1903.0,1824.0,1903.0,2026-06-07
Mexico,A,A1,CONCACAF,21,1875.0,1894.0,19.0,0.0,0.0,1894.0,1869.0,1902.0,2026-06-04
Senegal,I,I2,CAF,17,1867.0,1887.0,20.0,0.0,0.0,1887.0,1867.0,1936.0,2026-05-31
Uruguay,H,H4,CONMEBOL,9,1892.0,1877.0,-15.0,0.0,-0.0,1877.0,1874.0,1899.0,2026-03-31
Austria,J,J3,UEFA,10,1830.0,1845.0,15.0,0.0,0.0,1845.0,1830.0,1867.0,2026-06-01
Paraguay,D,D2,CONMEBOL,10,1833.0,1828.0,-5.0,0.0,-0.0,1828.0,1817.0,1841.0,2026-06-05
Algeria,J,J2,CAF,20,1760.0,1800.0,40.0,0.0,0.0,1800.0,1748.0,1836.0,2026-06-03
Australia,D,D3,AFC,11,1777.0,1791.0,14.0,0.0,0.0,1791.0,1777.0,1820.0,2026-06-06
Canada,B,B1,CONCACAF,15,1788.0,1776.0,-12.0,0.0,-0.0,1776.0,1773.0,1788.0,2026-06-05
Ivory Coast,E,E3,CAF,15,1695.0,1776.0,81.0,0.0,0.0,1776.0,1695.0,1776.0,2026-06-04
South Korea,A,A3,AFC,11,1758.0,1773.0,15.0,0.0,0.0,1773.0,1758.0,1791.0,2026-06-03
Scotland,C,C4,UEFA,11,1782.0,1770.0,-12.0,0.0,-0.0,1770.0,1757.0,1801.0,2026-06-06
Iran,G,G3,AFC,9,1772.0,1769.0,-3.0,0.0,-0.0,1769.0,1750.0,1779.0,2026-06-04
Panama,L,L4,CONCACAF,18,1730.0,1741.0,11.0,0.0,0.0,1741.0,1730.0,1766.0,2026-06-06
United States,D,D1,CONCACAF,17,1726.0,1737.0,11.0,0.0,0.0,1737.0,1694.0,1760.0,2026-06-06
Egypt,G,G2,CAF,20,1696.0,1730.0,34.0,0.0,0.0,1730.0,1650.0,1734.0,2026-06-06
Dem. Rep. of Congo,K,K2,CAF,13,1661.0,1727.0,66.0,0.0,0.0,1727.0,1661.0,1741.0,2026-06-03
Uzbekistan,K,K3,AFC,10,1718.0,1720.0,2.0,0.0,0.0,1720.0,1718.0,1746.0,2026-06-08
Czech Republic,A,A4,UEFA,11,1740.0,1715.0,-25.0,0.0,-0.0,1715.0,1703.0,1746.0,2026-06-04
Iraq,I,I3,AFC,14,1618.0,1692.0,74.0,0.0,0.0,1692.0,1618.0,1698.0,2026-06-04
Jordan,J,J4,AFC,17,1685.0,1670.0,-15.0,0.0,-0.0,1670.0,1610.0,1693.0,2026-06-07
Tunisia,F,F4,CAF,18,1628.0,1648.0,20.0,0.0,0.0,1648.0,1628.0,1698.0,2026-06-06
Bosnia and Herzegovina,B,B2,UEFA,11,1595.0,1637.0,42.0,0.0,0.0,1637.0,1585.0,1657.0,2026-06-06
Sweden,F,F3,UEFA,11,1712.0,1631.0,-81.0,0.0,-0.0,1631.0,1608.0,1721.0,2026-06-04
Cape Verde,H,H2,CAF,10,1578.0,1594.0,16.0,0.0,0.0,1594.0,1578.0,1643.0,2026-06-06
Saudi Arabia,H,H3,AFC,20,1569.0,1583.0,14.0,0.0,0.0,1583.0,1553.0,1612.0,2026-06-05
Ghana,L,L3,CAF,10,1510.0,1564.0,54.0,0.0,0.0,1564.0,1510.0,1577.0,2026-06-02
South Africa,A,A2,CAF,14,1528.0,1556.0,28.0,0.0,0.0,1556.0,1528.0,1592.0,2026-06-06
Haiti,C,C3,CONCACAF,14,1548.0,1549.0,1.0,0.0,0.0,1549.0,1482.0,1561.0,2026-06-05
Curaçao,E,E2,CONCACAF,14,1434.0,1542.0,108.0,0.0,0.0,1542.0,1434.0,1569.0,2026-06-06
New Zealand,G,G4,OFC,11,1562.0,1499.0,-63.0,0.0,-0.0,1499.0,1495.0,1562.0,2026-06-06
Qatar,B,B3,AFC,12,1421.0,1379.0,-42.0,0.0,-0.0,1379.0,1376.0,1421.0,2026-06-06
