team,group,position,confederation,elo,host,elo_source_url,elo_recent_start,elo_recent_end,elo_recent_change,elo_recent_trend_weight,elo_recent_forecast_adjustment,elo_recent_matches,elo_recent_last_match_date
Mexico,A,A1,CONCACAF,1894.000,1,https://www.international-football.net/country?team=Mexico,1875.000,1894.000,19.000,0.000,0.000,21,2026-06-04
South Africa,A,A2,CAF,1556.000,0,https://www.international-football.net/country?team=South+Africa,1528.000,1556.000,28.000,0.000,0.000,14,2026-06-06
South Korea,A,A3,AFC,1773.000,0,https://www.international-football.net/country?team=South+Korea,1758.000,1773.000,15.000,0.000,0.000,11,2026-06-03
Czech Republic,A,A4,UEFA,1715.000,0,https://www.international-football.net/country?team=Czech+Republic,1740.000,1715.000,-25.000,0.000,-0.000,11,2026-06-04
Canada,B,B1,CONCACAF,1776.000,1,https://www.international-football.net/country?team=Canada,1788.000,1776.000,-12.000,0.000,-0.000,15,2026-06-05
Bosnia and Herzegovina,B,B2,UEFA,1637.000,0,https://www.international-football.net/country?team=Bosnia+and+Herzegovina,1595.000,1637.000,42.000,0.000,0.000,11,2026-06-06
Qatar,B,B3,AFC,1379.000,0,https://www.international-football.net/country?team=Qatar,1421.000,1379.000,-42.000,0.000,-0.000,12,2026-06-06
Switzerland,B,B4,UEFA,1905.000,0,https://www.international-football.net/country?team=Switzerland,1891.000,1905.000,14.000,0.000,0.000,11,2026-06-06
Brazil,C,C1,CONMEBOL,1986.000,0,https://www.international-football.net/country?team=Brazil,1991.000,1986.000,-5.000,0.000,-0.000,11,2026-06-06
Morocco,C,C2,CAF,1903.000,0,https://www.international-football.net/country?team=Morocco,1824.000,1903.000,79.000,0.000,0.000,25,2026-06-07
Haiti,C,C3,CONCACAF,1549.000,0,https://www.international-football.net/country?team=Haiti,1548.000,1549.000,1.000,0.000,0.000,14,2026-06-05
Scotland,C,C4,UEFA,1770.000,0,https://www.international-football.net/country?team=Scotland,1782.000,1770.000,-12.000,0.000,-0.000,11,2026-06-06
United States,D,D1,CONCACAF,1737.000,1,https://www.international-football.net/country?team=United+States,1726.000,1737.000,11.000,0.000,0.000,17,2026-06-06
Paraguay,D,D2,CONMEBOL,1828.000,0,https://www.international-football.net/country?team=Paraguay,1833.000,1828.000,-5.000,0.000,-0.000,10,2026-06-05
Australia,D,D3,AFC,1791.000,0,https://www.international-football.net/country?team=Australia,1777.000,1791.000,14.000,0.000,0.000,11,2026-06-06
Turkey,D,D4,UEFA,1931.000,0,https://www.international-football.net/country?team=Turkey,1911.000,1931.000,20.000,0.000,0.000,11,2026-06-06
Germany,E,E1,UEFA,1933.000,0,https://www.international-football.net/country?team=Germany,1932.000,1933.000,1.000,0.000,0.000,10,2026-06-06
Curaçao,E,E2,CONCACAF,1542.000,0,https://www.international-football.net/country?team=Cura%C3%A7ao,1434.000,1542.000,108.000,0.000,0.000,14,2026-06-06
Ivory Coast,E,E3,CAF,1776.000,0,https://www.international-football.net/country?team=Ivory+Coast,1695.000,1776.000,81.000,0.000,0.000,15,2026-06-04
Ecuador,E,E4,CONMEBOL,1948.000,0,https://www.international-football.net/country?team=Ecuador,1935.000,1948.000,13.000,0.000,0.000,11,2026-06-07
Netherlands,F,F1,UEFA,1928.000,0,https://www.international-football.net/country?team=Netherlands,1944.000,1928.000,-16.000,0.000,-0.000,11,2026-06-08
Japan,F,F2,AFC,1931.000,0,https://www.international-football.net/country?team=Japan,1906.000,1931.000,25.000,0.000,0.000,10,2026-05-31
Sweden,F,F3,UEFA,1631.000,0,https://www.international-football.net/country?team=Sweden,1712.000,1631.000,-81.000,0.000,-0.000,11,2026-06-04
Tunisia,F,F4,CAF,1648.000,0,https://www.international-football.net/country?team=Tunisia,1628.000,1648.000,20.000,0.000,0.000,18,2026-06-06
Belgium,G,G1,UEFA,1932.000,0,https://www.international-football.net/country?team=Belgium,1893.000,1932.000,39.000,0.000,0.000,11,2026-06-06
Egypt,G,G2,CAF,1730.000,0,https://www.international-football.net/country?team=Egypt,1696.000,1730.000,34.000,0.000,0.000,20,2026-06-06
Iran,G,G3,AFC,1769.000,0,https://www.international-football.net/country?team=Iran,1772.000,1769.000,-3.000,0.000,-0.000,9,2026-06-04
New Zealand,G,G4,OFC,1499.000,0,https://www.international-football.net/country?team=New+Zealand,1562.000,1499.000,-63.000,0.000,-0.000,11,2026-06-06
Spain,H,H1,UEFA,2154.000,0,https://www.international-football.net/country?team=Spain,2155.000,2154.000,-1.000,0.000,-0.000,10,2026-06-08
Cape Verde,H,H2,CAF,1594.000,0,https://www.international-football.net/country?team=Cape+Verde,1578.000,1594.000,16.000,0.000,0.000,10,2026-06-06
Saudi Arabia,H,H3,AFC,1583.000,0,https://www.international-football.net/country?team=Saudi+Arabia,1569.000,1583.000,14.000,0.000,0.000,20,2026-06-05
Uruguay,H,H4,CONMEBOL,1877.000,0,https://www.international-football.net/country?team=Uruguay,1892.000,1877.000,-15.000,0.000,-0.000,9,2026-03-31
France,I,I1,UEFA,2059.000,0,https://www.international-football.net/country?team=France,2062.000,2059.000,-3.000,0.000,-0.000,10,2026-06-08
Senegal,I,I2,CAF,1887.000,0,https://www.international-football.net/country?team=Senegal,1867.000,1887.000,20.000,0.000,0.000,17,2026-05-31
Iraq,I,I3,AFC,1692.000,0,https://www.international-football.net/country?team=Iraq,1618.000,1692.000,74.000,0.000,0.000,14,2026-06-04
Norway,I,I4,UEFA,1927.000,0,https://www.international-football.net/country?team=Norway,1917.000,1927.000,10.000,0.000,0.000,11,2026-06-07
Argentina,J,J1,CONMEBOL,2084.000,0,https://www.international-football.net/country?team=Argentina,2114.000,2084.000,-30.000,0.000,-0.000,9,2026-06-06
Algeria,J,J2,CAF,1800.000,0,https://www.international-football.net/country?team=Algeria,1760.000,1800.000,40.000,0.000,0.000,20,2026-06-03
Austria,J,J3,UEFA,1845.000,0,https://www.international-football.net/country?team=Austria,1830.000,1845.000,15.000,0.000,0.000,10,2026-06-01
Jordan,J,J4,AFC,1670.000,0,https://www.international-football.net/country?team=Jordan,1685.000,1670.000,-15.000,0.000,-0.000,17,2026-06-07
Portugal,K,K1,UEFA,1944.000,0,https://www.international-football.net/country?team=Portugal,1986.000,1944.000,-42.000,0.000,-0.000,9,2026-06-06
Dem. Rep. of Congo,K,K2,CAF,1727.000,0,https://www.international-football.net/country?team=Dem.+Rep.+of+Congo,1661.000,1727.000,66.000,0.000,0.000,13,2026-06-03
Uzbekistan,K,K3,AFC,1720.000,0,https://www.international-football.net/country?team=Uzbekistan,1718.000,1720.000,2.000,0.000,0.000,10,2026-06-08
Colombia,K,K4,CONMEBOL,1996.000,0,https://www.international-football.net/country?team=Colombia,1977.000,1996.000,19.000,0.000,0.000,11,2026-06-07
England,L,L1,UEFA,2001.000,0,https://www.international-football.net/country?team=England,2021.000,2001.000,-20.000,0.000,-0.000,10,2026-06-06
Croatia,L,L2,UEFA,1914.000,0,https://www.international-football.net/country?team=Croatia,1908.000,1914.000,6.000,0.000,0.000,11,2026-06-07
Ghana,L,L3,CAF,1564.000,0,https://www.international-football.net/country?team=Ghana,1510.000,1564.000,54.000,0.000,0.000,10,2026-06-02
Panama,L,L4,CONCACAF,1741.000,0,https://www.international-football.net/country?team=Panama,1730.000,1741.000,11.000,0.000,0.000,18,2026-06-06
