team,group,position,elo,confederation,reach_r32,reach_r32_ci_low,reach_r32_ci_high,reach_r32_count,group_pos_1,group_pos_1_ci_low,group_pos_1_ci_high,group_pos_1_count,group_pos_2,group_pos_2_ci_low,group_pos_2_ci_high,group_pos_2_count,group_pos_3,group_pos_3_ci_low,group_pos_3_ci_high,group_pos_3_count,group_pos_4,group_pos_4_ci_low,group_pos_4_ci_high,group_pos_4_count
Mexico,A,A1,1894.0,CONCACAF,0.89928,0.8973993148808318,0.901130009943984,89928,0.52569,0.5225941904931599,0.5287838358411157,52569,0.26378,0.26105778979930344,0.2665203580916054,26378,0.1392,0.13706840371804835,0.14135931518399153,13920,0.07133,0.06975121304384757,0.07294172005409438,7133
South Africa,A,A2,1556.0,CAF,0.45386,0.4507760790023586,0.4569474657596706,45386,0.09577,0.09396159134435786,0.09760946412064103,9577,0.18822,0.18580929052529094,0.19065466235519135,18822,0.29229,0.2894791017361315,0.2951168558390978,29229,0.42372,0.42066028836455294,0.42678557193990285,42372
South Korea,A,A3,1773.0,AFC,0.68709,0.6842090059965806,0.689956620584953,68709,0.21556,0.2130222909286094,0.21811956152287684,21556,0.29214,0.28932953223975283,0.2949664368594103,29214,0.27255,0.26979900707092297,0.2753184670539912,27255,0.21975,0.21719436199904563,0.22232716855055717,21975
Czech Republic,A,A4,1715.0,UEFA,0.60798,0.6049500612250043,0.6110016430792022,60798,0.16298,0.1607037563626241,0.16528213561178137,16298,0.25586,0.253164978449367,0.2585737779052451,25586,0.29596,0.2931386837823982,0.2987969918405848,29596,0.2852,0.28240985836768473,0.28800664390548103,28520
Canada,B,B1,1776.0,CONCACAF,0.86338,0.8612373769325323,0.865494705953767,86338,0.40784,0.40479771838680256,0.41088936191810876,40784,0.31212,0.3092553901410642,0.31499904397012013,31212,0.18783,0.1854212353544328,0.1902627474882773,18783,0.09221,0.09043242609252382,0.09401890287383667,9221
Bosnia and Herzegovina,B,B2,1637.0,UEFA,0.61752,0.6145033806244234,0.620527590757595,61752,0.15511,0.1528795352979416,0.15736696129885594,15511,0.24503,0.24237405806178522,0.24770553032084539,24503,0.33934,0.3364115827284941,0.3422807601728411,33934,0.26052,0.25780884165677426,0.26324955668762856,26052
Qatar,B,B3,1379.0,AFC,0.32355,0.3206572354270511,0.3264563205603796,32355,0.05587,0.054463499113016005,0.05731062171836702,5587,0.12432,0.12228942883911659,0.12637943323715384,12432,0.27119,0.2684433810436133,0.273954197564967,27119,0.54862,0.5455339020277872,0.5517023626811453,54862
Switzerland,B,B4,1905.0,UEFA,0.8529,0.8506910957608534,0.8550817922642854,85290,0.38118,0.3781744188568622,0.3841947096352122,38118,0.31853,0.31564935404818206,0.32142458760689885,31853,0.20164,0.1991647111392017,0.20413821073333888,20164,0.09865,0.09681721212220872,0.10051362208326171,9865
Brazil,C,C1,1986.0,CONMEBOL,0.86609,0.8639651843907828,0.8681866902964462,86609,0.44878,0.4456993540729512,0.45186458096630194,44878,0.28283,0.28004698454009125,0.2856296998112282,28283,0.17397,0.17163299373704002,0.17633205391715093,17397,0.09442,0.09262319147627686,0.09624796770412601,9442
Morocco,C,C2,1903.0,CAF,0.76682,0.7641889412275283,0.7694305599990728,76682,0.29397,0.29115430537221537,0.2968015231349557,29397,0.30241,0.2995709045383666,0.30526427555546404,30241,0.23872,0.23608787425066804,0.24137219890544334,23872,0.1649,0.16261288131711776,0.16721286315093536,16490
Haiti,C,C3,1549.0,CONCACAF,0.42077,0.41771327988391843,0.42383280705790155,42077,0.09147,0.0896989359732729,0.09327244984449422,9147,0.16873,0.16642152019054984,0.17106393003306092,16873,0.28077,0.27799325596103136,0.2835635866523119,28077,0.45903,0.4559430785784928,0.46212006899195235,45903
Scotland,C,C4,1770.0,UEFA,0.61013,0.6071029566163584,0.613148582511464,61013,0.16578,0.16348793436881295,0.16809774249216206,16578,0.24603,0.24337035540905147,0.24870915614735398,24603,0.30654,0.3036898704512115,0.3094049923503092,30654,0.28165,0.2788705680708547,0.2844462069354104,28165
United States,D,D1,1737.0,CONCACAF,0.6919,0.68903102998764,0.6947542270597505,69190,0.25765,0.25494873246839567,0.26036988636727343,25765,0.25883,0.25612464748822233,0.261553880692501,25883,0.24736,0.24469546091571895,0.25004394846180705,24736,0.23616,0.23353776246400115,0.23880250736724667,23616
Paraguay,D,D2,1828.0,CONMEBOL,0.67469,0.6717796564179664,0.6775869228087593,67469,0.24843,0.24576154801484815,0.2511177791586169,24843,0.25298,0.2502951534417671,0.25568382417237345,25298,0.25118,0.24850159213732131,0.25387752376402456,25118,0.24741,0.24474527757879408,0.25009412795742064,24741
Australia,D,D3,1791.0,AFC,0.59563,0.5925846165081711,0.5986680365999163,59563,0.19256,0.19012791221632544,0.19501570723833964,19256,0.2258,0.22321914818128116,0.2284019175696594,22580,0.26667,0.26393815325935627,0.2694197726037619,26667,0.31497,0.31209818182976024,0.31785603332668233,31497
Turkey,D,D4,1931.0,UEFA,0.73092,0.7281624910298866,0.7336597682581981,73092,0.30136,0.29852375317702307,0.304211507584344,30136,0.26239,0.2596724784307597,0.2651257762486021,26239,0.23479,0.23217310855016615,0.23742726653301016,23479,0.20146,0.19898554799469867,0.20395738770656244,20146
Germany,E,E1,1933.0,UEFA,0.7708,0.7681845158884274,0.7733946795697978,77080,0.30757,0.30471716073847344,0.31043762293203536,30757,0.29426,0.291443482115545,0.29709232411202074,29426,0.23552,0.23290025516772955,0.23816006383230237,23552,0.16265,0.16037563688229475,0.16495028044476498,16265
Curaçao,E,E2,1542.0,CONCACAF,0.41997,0.4169141104457419,0.42303203795705824,41997,0.09366,0.09186977146550082,0.09548144610283316,9366,0.16284,0.16056455374940518,0.16514134898067187,16284,0.27522,0.2724605142139864,0.2779967547849065,27522,0.46828,0.4651885448706597,0.47137389205720265,46828
Ivory Coast,E,E3,1776.0,CAF,0.65338,0.6504245950025405,0.6563236213910435,65338,0.20468,0.2021906943680465,0.20719199395276955,20468,0.25296,0.25027522464632956,0.25566375450433554,25296,0.29222,0.28940930259169945,0.29504666036136556,29222,0.25014,0.24746534029456607,0.2528338555060539,25014
Ecuador,E,E4,1948.0,CONMEBOL,0.83322,0.8308967411112028,0.8355176588540473,83322,0.39409,0.3910654683962897,0.39712266826921777,39409,0.28994,0.28713588897140996,0.2927602491454484,28994,0.19704,0.19458634349600432,0.19951693177717197,19704,0.11893,0.11693830873997085,0.1209509674296532,11893
Netherlands,F,F1,1928.0,UEFA,0.80177,0.7992875140432922,0.8042293021067395,80177,0.34912,0.3461713337390645,0.35208025780178864,34912,0.29615,0.2933281504272602,0.29898751059874,29615,0.21371,0.2111803310522506,0.21626166352775222,21371,0.14102,0.13887663874904635,0.1431909403292638,14102
Japan,F,F2,1931.0,AFC,0.82594,0.8235774699417591,0.8282774893184104,82594,0.38403,0.38102004297388803,0.3870488665634445,38403,0.29166,0.2888509123433306,0.2944850936324205,29166,0.20094,0.1984679699501177,0.20343500570078046,20094,0.12337,0.12134618849957608,0.12542274656160823,12337
Sweden,F,F3,1631.0,UEFA,0.48339,0.4802934327404745,0.4864878433431256,48339,0.11733,0.11535010208411633,0.11933929700746801,11733,0.19102,0.18859544293876151,0.1934682948282903,19102,0.28706,0.28426433193035255,0.2898720274460343,28706,0.40459,0.4015516895845575,0.4076356404055857,40459
Tunisia,F,F4,1648.0,CAF,0.55755,0.5544694685643171,0.5606261100864246,55755,0.14952,0.14732327356721212,0.15174365248818408,14952,0.22117,0.218608373167401,0.2237530482889621,22117,0.29829,0.2954621836762883,0.30113331294159007,29829,0.33102,0.3281099069107553,0.33394307518477334,33102
Belgium,G,G1,1932.0,UEFA,0.84189,0.839615586538019,0.844138147343859,84189,0.41645,0.41339786299061887,0.41950855584049385,41645,0.2797,0.27692654200706207,0.28249038281034206,27970,0.19219,0.18975971605492864,0.1946439318254397,19219,0.11166,0.10972286773397733,0.11362696696230368,11166
Egypt,G,G2,1730.0,CAF,0.68737,0.684489696036883,0.6902359090333078,68737,0.22737,0.22478273279720593,0.2299782123365611,22737,0.27094,0.2681941886267943,0.2737034091883424,27094,0.27607,0.2733078365663662,0.2788493671302353,27607,0.22562,0.2230398870343985,0.22822119254526255,22562
Iran,G,G3,1769.0,AFC,0.72719,0.724420720420923,0.7299418254289816,72719,0.25993,0.2572208625818237,0.26265758109005194,25993,0.28521,0.28241982850025804,0.2880166730046455,28521,0.26124,0.25852638408305234,0.26397195894646847,26124,0.19362,0.19118276358983902,0.19608077442902735,19362
New Zealand,G,G4,1499.0,OFC,0.41816,0.4151060200423192,0.4212202674159484,41816,0.09625,0.09443749366283474,0.09809352492557608,9625,0.16415,0.16186711599251774,0.16645868609520426,16415,0.2705,0.26775561265278963,0.27326201896588614,27050,0.4691,0.46600819450954295,0.4721941794208148,46910
Spain,H,H1,2154.0,UEFA,0.9285,0.9268865330786114,0.9300805468839051,92850,0.56363,0.5605538352272857,0.5667012763200069,56363,0.26909,0.26635019908798263,0.27184754085567053,26909,0.11846,0.11647176081378352,0.12047755146416636,11846,0.04882,0.04750163852126665,0.0501730239350038,4882
Cape Verde,H,H2,1594.0,CAF,0.46358,0.4604907148870404,0.46667208312408026,46358,0.08571,0.08399084916239719,0.08746097917442688,8571,0.1951,0.1926556221071317,0.19756780220892142,19510,0.32761,0.3247077134561595,0.33052553061679696,32761,0.39158,0.3885589782542441,0.39460935124508845,39158
Saudi Arabia,H,H3,1583.0,AFC,0.44182,0.43874436903646885,0.44490010071331143,44182,0.0816,0.07991931269904083,0.0833128313935687,8160,0.18279,0.18040672779477576,0.1851976422521092,18279,0.31886,0.31597854560262323,0.32175537069980337,31886,0.41675,0.41369753693289457,0.4198088588503506,41675
Uruguay,H,H4,1877.0,CONMEBOL,0.78479,0.7822319268215554,0.7873261938377796,78479,0.26906,0.2663202970547697,0.27181744519367035,26906,0.35302,0.35006364208917756,0.3559876498293974,35302,0.23507,0.23245201282226444,0.23770834074956884,23507,0.14285,0.14069493187019133,0.14503250661612677,14285
France,I,I1,2059.0,UEFA,0.82093,0.8185413238967966,0.8232940202627611,82093,0.39197,0.3889484273970138,0.39499987214009097,39197,0.27771,0.27494270565799234,0.2804943720435999,27771,0.20017,0.19770156827277405,0.20266146653431746,20017,0.13015,0.12807878438295983,0.1322496297964178,13015
Senegal,I,I2,1887.0,CAF,0.69534,0.6924798523766209,0.6981851403885551,69534,0.24446,0.2418061772818577,0.2471334548917213,24446,0.26604,0.2633102411498589,0.268787733113781,26604,0.26486,0.2621341709905932,0.26760389392799233,26486,0.22464,0.2220639217532727,0.22723723311608904,22464
Iraq,I,I3,1692.0,AFC,0.46841,0.46531848876637477,0.47150393817407826,46841,0.11514,0.11317643757573866,0.1171331297652788,11514,0.18539,0.1829934931623852,0.1878106771363143,18539,0.27259,0.2698388789168202,0.27535859213504493,27259,0.42688,0.42381720784574994,0.4299484096878342,42688
Norway,I,I4,1927.0,UEFA,0.70129,0.6984455569934079,0.7041189786557284,70129,0.24843,0.24576154801484815,0.2511177791586169,24843,0.27086,0.2681144472863233,0.2736231566749113,27086,0.26238,0.25966251228908366,0.26511574315854036,26238,0.21833,0.2157803948343209,0.2209012448085216,21833
Argentina,J,J1,2084.0,CONMEBOL,0.88582,0.8838340289478699,0.8877763299579366,88582,0.50565,0.5025510651745884,0.5087485007572394,50565,0.26194,0.25922400385784117,0.26467428539332194,26194,0.15018,0.14797923550878872,0.1524076398412989,15018,0.08223,0.08054333617421053,0.08394875951787711,8223
Algeria,J,J2,1800.0,CAF,0.63855,0.6355671076416763,0.6415222480848267,63855,0.1841,0.18171003708741854,0.18651423231711148,18410,0.26738,0.2646458087618314,0.2701320625546668,26738,0.28393,0.28114366523079254,0.2867329346116792,28393,0.26459,0.2618650737176002,0.26733301194406617,26459
Austria,J,J3,1845.0,UEFA,0.6561,0.6531499769265371,0.6590380304997144,65610,0.19656,0.19410863056799288,0.19903468158177157,19656,0.27358,0.2708257160398009,0.2763516789541013,27358,0.28091,0.27813282745869555,0.2837040043989762,28091,0.24895,0.24627965436305346,0.2516396328607745,24895
Jordan,J,J4,1670.0,AFC,0.48262,0.4795236246176652,0.4857177106221283,48262,0.11369,0.11173737869326394,0.11567230004577997,11369,0.1971,0.19464605801116,0.1995772126524428,19710,0.28498,0.28219051587703586,0.28778600329789944,28498,0.40423,0.40119213797663306,0.4072752196709512,40423
Portugal,K,K1,1944.0,UEFA,0.75158,0.7488922565403575,0.7542484155179152,75158,0.2922,0.28938935999382864,0.295026604495761,29220,0.29038,0.2875746112200148,0.2932014930933047,29038,0.23715,0.23452392287134846,0.23979627090193648,23715,0.18027,0.17789972831070988,0.1826648353382625,18027
Dem. Rep. of Congo,K,K2,1727.0,CAF,0.55926,0.556180649351308,0.5623347979265887,55926,0.15233,0.15011618345934782,0.15457052671435564,15233,0.2255,0.22292037998498776,0.22810070881382033,22550,0.28762,0.2848226794116261,0.2904336369420747,28762,0.33455,0.33163200775784535,0.3374807031411085,33455
Uzbekistan,K,K3,1720.0,AFC,0.51972,0.5166227379011714,0.5228157470856682,51972,0.13428,0.13218083318348134,0.1364072637035864,13428,0.20432,0.2018323427982691,0.206830373179988,20432,0.29061,0.2878039445810528,0.2934321420622347,29061,0.37079,0.3678013055191555,0.37378862119739825,37079
Colombia,K,K4,1996.0,CONMEBOL,0.84229,0.8400178967573977,0.8445358063939903,84229,0.42119,0.4181328471384884,0.424253207536317,42119,0.2798,0.2770262340700378,0.2825906830647439,27980,0.18462,0.18222739391822076,0.18703683553667214,18462,0.11439,0.11243208416397181,0.11637754079671452,11439
England,L,L1,2001.0,UEFA,0.83301,0.8306855864749492,0.8353088296238085,83301,0.39704,0.3940114501848768,0.40007645984326634,39704,0.28598,0.2831875337590933,0.28878890858961687,28598,0.1978,0.19534273389312604,0.20028048299211917,19780,0.11918,0.11718647664451998,0.12120278031854778,11918
Croatia,L,L2,1914.0,UEFA,0.76999,0.7673713195778864,0.772587938109581,76999,0.30762,0.3047670296250382,0.3104877502041593,30762,0.29354,0.2907255286000217,0.29637033294242615,29354,0.2357,0.23307955325623386,0.23834075191507753,23570,0.16314,0.1608628458013957,0.16544303388081377,16314
Ghana,L,L3,1564.0,CAF,0.42199,0.41893202914217853,0.42505396407164675,42199,0.09481,0.09300982882251423,0.09664130039566084,9481,0.16494,0.16265265594762124,0.16725308544738293,16494,0.27547,0.27270972536784804,0.2782475244244886,27547,0.46478,0.46169013462376357,0.46787257119588693,46478
Panama,L,L4,1741.0,CONCACAF,0.65127,0.6483104933390824,0.6542178851578369,65127,0.20053,0.19805988415898443,0.20302312299066608,20053,0.25554,0.2528461013336148,0.2582526796053894,25554,0.29103,0.28822272949932465,0.29385332487694843,29103,0.2529,0.25021543830528514,0.25560354545495345,25290
